え|picture
いけ|pond
おかし|candy
かお|face
き|tree
あし|leg
せかい|world
あさ|morning
あかい|red
あおい|blue
いす|chair
きく|chrysathemum
えき|station
そこ|bottom
しお|salt
かさ|umbrella
て|hand
にく|meat
つき|moon
ひと|person
おなか|stomach
ねこ|cat
はな|flower, nose
いぬ|dog
くち|mouth
ふえ|flute
たき|waterfall
ほし|star
うち|house
たかい|high, expensive
うくい|low
あたま|head
はれ|clear (weather)
みみ|ear
とり|bird
め|eye
むすめ|daughter
ひる|afternoon
かわ|river
よる|night
やま|mountain
あめ|rain
からし|mustard
ゆき|snow
くすり|medicine
くも|cloud
うま|horse
しろい|white
くろい|black
ひげ|beard
にほんご|Japanese language
ゆび|finger
かばん|kaban
うで|arm
ちぞ|map
のど|throat
かぎ|key
ひざ|knee
かぜ|wind
からだ|body
えんぴつ|pencil
でんわ|telephone
てんぷら|tempura
ながい|long
めぎかい|short
せんせい|teacher
がくせい|student
ふうせん|balloon
さとり|sugar
とおり|street
とけい|clock
おかさん|mother
おとうさん|father
おばあさん|grandmother
おじいさん|grandfater
こうこう|high school
こおり|ice
おねえさん|elder sister
おにいさん|elder brother
いもうと|younger sister
おとうと|younger brother
おおきい|big
ちいさい|small
はがき|post card
めがね|glasses
うさぎ|bunny rabbit
れんげ|chinese spoon
ごはん|rice, meal
あまご|eggs
りんご|apple
ぐんじn|soldier
ねずみ|mouse
みず|water
かぞく|family
ろうそく|candle
ぞう|elephant
ぶどう|grapes
ぼうし|hat
おうさま|king
れうぞうこ|refridgerator
くだもの|fruit
かいだん|staircase
まど|window
ばら|rose bud ?
たばこ|tobacco
かばん|purse
えび|shrimp
へび|snake
ぶた|pig
しんばん|news paper
なべ|pots
